timestamp,drone_id,x,y,z,vx,vy,vz,ax,ay,az,heading
1781085639088037,px4_8,0.04401250556111336,-0.028526313602924347,0.074951171875,0.042524632066488266,-0.04730181768536568,-0.009614337235689163,0.022757288068532944,-0.04617578163743019,-0.005016568582504988,1.5349053144454956
1781085639112037,px4_8,0.04431121051311493,-0.029188191518187523,0.074951171875,0.04262316972017288,-0.047726813703775406,-0.010475259274244308,0.042099129408597946,-0.025174299255013466,0.019791999831795692,1.5348798036575317
1781085639128037,px4_8,0.04456358030438423,-0.029660798609256744,0.074920654296875,0.043213434517383575,-0.04838008061051369,-0.011492175981402397,0.015914620831608772,-0.007861060090363026,-0.09963846951723099,1.534830927848816
1781085639152037,px4_8,0.04502212256193161,-0.030402565374970436,0.0748291015625,0.04401564225554466,-0.04786381870508194,-0.012588993646204472,0.018855005502700806,0.06704618036746979,-0.04864250868558884,1.5348901748657227
1781085639168037,px4_8,0.044303253293037415,-0.029958879575133324,0.074737548828125,0.04430019482970238,-0.046976134181022644,-0.012867781333625317,0.058008015155792236,-0.0030824870336800814,-0.024881677702069283,1.534885048866272
1781085639192037,px4_8,0.0433826707303524,-0.02939584106206894,0.074615478515625,0.04345912113785744,-0.04700324684381485,-0.012464473955333233,-0.011684990487992764,-0.07910256087779999,0.09625078737735748,1.534845232963562
1781085639208037,px4_8,0.0428609624505043,-0.02910076640546322,0.074554443359375,0.04346691817045212,-0.04684890806674957,-0.012175497598946095,0.07592453807592392,0.004534743260592222,0.0034943220671266317,1.5349229574203491
1781085639232037,px4_8,0.042221613228321075,-0.0287700854241848,0.074462890625,0.04341529309749603,-0.04857750982046127,-0.013720913790166378,0.0017788842087611556,-0.11653599143028259,-0.0820099338889122,1.5348960161209106
1781085639248037,px4_8,0.04186967760324478,-0.028634393587708473,0.074371337890625,0.04269924387335777,-0.049096640199422836,-0.013830968178808689,-0.004237590357661247,-0.022072233259677887,0.022168269380927086,1.534623622894287
1781085639272037,px4_8,0.04144500195980072,-0.028535407036542892,0.074249267578125,0.04204396903514862,-0.05082792788743973,-0.01409330777823925,-0.002109019784256816,-0.03809095174074173,-0.011363065801560879,1.5345691442489624
1781085639288037,px4_8,0.041224297136068344,-0.028531942516565323,0.07415771484375,0.041604183614254,-0.05007432401180267,-0.014299575239419937,0.02103780396282673,0.07759340107440948,-0.027674714103341103,1.5346648693084717
1781085639312037,px4_8,0.040992382913827896,-0.028576895594596863,0.073974609375,0.041601721197366714,-0.04973255470395088,-0.014233208261430264,0.024514812976121902,-0.04350925609469414,0.018887219950556755,1.535048484802246
1781085639328037,px4_8,0.04090483486652374,-0.028659308329224586,0.0738525390625,0.04214385151863098,-0.049463167786598206,-0.013999161310493946,0.07076661288738251,0.07118997722864151,0.016067640855908394,1.5350810289382935
1781085639305993,px4_2,3.829798698425293,-0.2757072448730469,-2.930908203125,-0.2646060883998871,-2.898573160171509,-0.02974843978881836,-1.397599458694458,-1.5855228900909424,0.2386472076177597,0.0007724341121502221
1781085639352037,px4_8,0.040851302444934845,-0.028827834874391556,0.073638916015625,0.04233575612306595,-0.048689451068639755,-0.012844419106841087,-0.010272799991071224,0.017313038930296898,0.10467692464590073,1.5352351665496826
1781085639329993,px4_2,3.8288540840148926,-0.3371855616569519,-2.93023681640625,-0.29685235023498535,-2.929645538330078,-0.026501892134547234,-1.5150959491729736,-1.3550360202789307,0.08065439015626907,0.0007910628337413073
1781085639368037,px4_8,0.04086916148662567,-0.028977442532777786,0.073516845703125,0.04241223260760307,-0.04923331364989281,-0.012640188448131084,0.0804295539855957,-0.12665024399757385,-0.014591961167752743,1.5351500511169434
